Strike,Price_n1,Price_n2,Price_n3
100,50950838.45478623,13126878951095.91,2.267838831374435e+18
200,199815678.5908745,100978912569588.66,3.4225614699020345e+19
300,440629125.05204165,327450589976212.56,1.6324402188694055e+20
400,767418823.7071849,745163985869394.5,4.8550700935765806e+20
500,1174213674.9356775,1396065784127824.5,1.1140384255853329e+21
600,1655043325.5938904,2312024340492741.0,2.1683480443844968e+21
700,2203936837.172296,3515426808243017.0,3.765613106807429e+21
800,2814923528.2077656,5019776194487304.0,6.013311935302421e+21
900,3482032654.990736,6830288339930713.0,9.003225992516319e+21
1000,4199293487.9917493,8944489189892359.0,1.280672679824639e+22
1100,4960735291.620319,1.1352811672276964e+16,1.7471264152887767e+22
1200,5760387342.383949,1.4039192915642068e+16,2.30179719319387e+22
1300,6592278919.491697,1.698167118586314e+16,2.9440308063503095e+22
1400,7450439394.082454,2.0153006459431376e+16,3.6703645089615076e+22
1500,8328898103.636677,2.352116046341072e+16,4.474572725296039e+22
1600,9221684552.50413,2.7050127718154804e+16,5.347791161513802e+22
1700,10122828430.163555,3.070029849222518e+16,6.278710780505849e+22
1800,11026359814.723988,3.4429172948055852e+16,7.253833491067515e+22
1900,11926309215.02085,3.819193465415466e+16,8.257781175367946e+22
2000,12816708064.619705,4.194204731826681e+16,9.273649219224506e+22
2100,13691589188.404078,4.5631851527526184e+16,1.0283397232580035e+23
2200,14544987362.997171,4.921316174440077e+16,1.1268267229112437e+23
2300,15370940401.665325,5.263786099274213e+16,1.2209222498395545e+23
2400,16163490516.43595,5.585849838099278e+16,1.3087396931007462e+23
2500,16916686257.591919,5.88288827295108e+16,1.3884548641257595e+23
2600,17624585094.551918,6.150467624112343e+16,1.4583507800093028e+23
2700,18281256781.71659,6.3843988196203096e+16,1.5168610797780123e+23
2800,18880788059.99821,6.580796426507803e+16,1.5626113569629974e+23
2900,19417288875.292534,6.7361372058020536e+16,1.5944574360049226e+23
3000,19884899737.021114,6.847319006194069e+16,1.6115198448824424e+23
3100,20277802414.598896,6.911717934166904e+16,1.6132136979198836e+23
3200,20590232257.085804,6.927246079944929e+16,1.599273148463421e+23
3300,20816494747.27362,6.8924072858561976e+16,1.5697696448444003e+23
3400,20950985734.455788,6.8063526484808264e+16,1.525123224352707e+23
3500,20988216842.744373,6.66893391046247e+16,1.4661060977911705e+23
3600,20922846890.489388,6.480755016170536e+16,1.3938378134567048e+23
3700,20749720628.658966,6.243221547572222e+16,1.3097713320394102e+23
3800,20463916297.963833,5.958586668904738e+16,1.2156693825695071e+23
3900,20060803966.715374,5.629993255927867e+16,1.1135705382516509e+23
4000,19536117244.088787,5.261511292291853e+16,1.0057445359353695e+23
4100,18886042208.177452,4.858168952242714e+16,8.946364532081333e+22
4200,18107329538.66083,4.4259759179169496e+16,7.82799493729365e+22
4300,17197440333.55115,3.971936751184595e+16,6.728162947095623e+22
4400,16154744828.090776,3.504051169293281e+16,5.672088957279987e+22
4500,14978811111.57526,3.0312964295259564e+16,4.683378277971173e+22
4600,13670858133.29774,2.5635837962220268e+16,3.782912568560091e+22
4700,12234527360.908504,2.111674572208528e+16,2.9876590123933487e+22
4800,10677309601.529491,1.6870274218082464e+16,2.309428360419157e+22
4900,9013410790.099764,1.3015177344830214e+16,1.7536401197921353e+22
5000,7270040889.573693,9668943928299992.0,1.3182109369139768e+22
5100,5502515691.686515,6936399173173503.0,9.92817615692047e+21
5200,3831000136.216167,4883718122091617.0,7.591303527238384e+21
5300,2485047934.623549,3483358897221695.0,5.933979018861356e+21
5400,1628763989.390053,2572264868333984.0,4.728400160377405e+21
5500,1128039458.0155268,1956699344029862.8,3.817076557661069e+21
5600,815297543.7985194,1517171984758329.0,3.108442763105728e+21
5700,605392575.197261,1191166733812504.0,2.54749274550384e+21
5800,457487063.844632,943477039847731.4,2.0982097602538795e+21
5900,349932449.90480494,752289850833898.2,1.7353759585678278e+21
6000,270061745.0981593,603079605454905.2,1.4405212564854294e+21
6100,209877276.9207036,485675517150863.25,1.1997061499886969e+21
6200,164041410.47878218,392705514020504.25,1.0021941465754808e+21
6300,128847378.5493859,318696185488164.1,8.395972523577267e+20
6400,101646812.62618245,259513983142518.7,7.052942771582514e+20
6500,80508391.90304631,211998235177477.44,5.940177847052067e+20
6600,64002374.64420364,173709432712363.3,5.015514861584659e+20
6700,51058282.267681725,142750824421859.3,4.2450340293446114e+20
6800,40867534.73064304,117638825340821.2,3.6013293328202485e+20
6900,32815027.1037736,97207145321638.19,3.062173460914714e+20
7000,26430058.315961387,80534879644356.9,2.609477224724926e+20
7100,21350579.177603804,66891999732517.98,2.2284724075477782e+20
7200,17296861.40634268,55697688073724.69,1.907066184896184e+20
7300,14051876.44293176,46488275429246.24,1.6353285146490044e+20
7400,11446604.584854513,38892428539134.66,1.40508333962363e+20
7500,9348942.763735538,32611857179917.88,1.2095813236667138e+20
7600,7655290.552259616,27406245860041.88,1.0432369456542756e+20
7700,6284136.739616621,23081440422087.707,9.014166163101922e+19
7800,5171149.267959397,19480154821744.484,7.80267400990942e+19
7900,4265401.655885682,16474632352581.139,6.76578171099858e+19
8000,3526461.7167518483,13960836470661.89,5.876667376257829e+19
8100,2922138.1875670897,11853834749318.264,5.112878646950017e+19
8200,2426730.3125236416,10084122226445.348,4.455581107214505e+19
8300,2019664.228644063,8594684211455.898,3.888942687938539e+19
8400,1684427.1001427833,7338643510993.06,3.399628256626618e+19
8500,1407731.7355227305,6277370876442.16,2.976383711946107e+19
8600,1178859.8343438534,5378963560306.711,2.609692962519221e+19
8700,989144.3125336965,4617017228734.087,2.2914943957320466e+19
8800,831560.0817253046,3969632261596.535,2.0149460191399293e+19
8900,700399.7428598623,3418607797971.4336,1.77423050930455e+19
9000,591015.8896369744,2948786544464.203,1.564393057714349e+19
9100,499615.8348793453,2547520927743.46,1.3812062269150384e+19
9200,423097.6821584419,2204237176322.3623,1.2210570952884054e+19
9300,358919.1090387207,1910078582976.3901,1.0808528342680836e+19
9400,304992.07574734883,1657612947226.8904,9.579415733533676e+18
9500,259598.15340812795,1440592157280.9146,8.500459203932492e+18
9600,221320.26817211777,1253754222200.4324,7.552070580715733e+18
9700,188987.56657156837,1092659931317.5194,6.7173761852572e+18
9800,161630.7775810454,953557817407.8958,5.981819022645687e+18
9900,138445.99568918216,833272312835.714,5.3328223947422e+18
10000,118765.24112159791,729110939135.189,4.759504957910876e+18
10100,102032.47169626094,638787150687.6322,4.2524389659475574e+18
10200,87784.0049848005,560356074283.2274,3.803444866772577e+18
10300,75632.50455446813,492160898781.38654,3.4054164479134664e+18
10400,65253.85715967568,432788070736.04944,3.0521718212520494e+18
10500,56376.39834340685,381029781185.96985,2.7383261936591124e+18
10600,48772.052581234035,335852515663.46875,2.4591831075380577e+18
10700,42249.02892890508,296370633179.125,2.2106413188634632e+18
10800,36645.79268331113,261824141278.17053,1.989114952186309e+18
10900,31826.082694766206,231559968460.72766,1.7914649557262323e+18
11000,27674.77999291508,205016160123.30316,1.6149401566528402e+18
11100,24094.481614985085,181708521365.42783,1.4571265262058673e+18
11200,21002.655272726166,161219311027.5885,1.3159034348294346e+18
11300,18329.254579293596,143187654745.6541,1.1894058994848986e+18
11400,16014.77669604935,127301413435.9629,1.0759919481948056e+18
11500,14008.569233114442,113290263792.68842,9.742143843652718e+17
11600,12267.482777502872,100919810023.53241,8.827963108741786e+17
11700,10754.66585631205,89986565916.23633,8.006099115318781e+17
11800,9438.67350813007,80313669036.05606,7.266580129872465e+17
11900,8292.585524628337,71747219479.8476,6.600580577985321e+17
